売上日,営業所,営業担当,期,伝票番号,商品CD,商品名,大分類,中分類,小分類,得意先CD,得意先名,売上数,売上金額,粗利益,単価
2025-11-07,札幌,渡辺,31,1006758,2305204,P蓋付き片手天ぷら鍋16cm,鍋,P蓋付き片手天ぷら鍋,16cm,1017,沢田工業,1,870,160,870
2025-11-07,札幌,伊藤,31,1006872,1305006,フライパンカバーセット,フライパン,フライパンカバーセット,,1210,池本工業,21,8190,1050,390
2025-11-08,札幌,渡辺,31,1006899,2805011,Nフライパン26cm,フライパン,Nフライパン,26cm,1407,田上企画,2,1530,230,765
2025-11-09,札幌,伊藤,31,1006911,3005019,食彩鍋26cm,鍋,食彩鍋,26cm,1154,加納企画,10,27000,6000,2700
2025-11-14,札幌,佐藤,31,1007070,2305013,Pフライパン26cm,フライパン,Pフライパン,26cm,1002,水野商事,27,21600,3780,800
2025-11-14,札幌,山本,31,1007088,15305001,鉄玉子,その他,鉄玉子,,1193,相馬事務所,1,440,95,440
2025-11-14,札幌,田中,31,1007100,3005017,食彩鍋22cm,鍋,食彩鍋,22cm,1153,米谷サービス,2,4300,700,2150
2025-11-15,札幌,高橋,31,1007112,2805014,N玉子焼中,フライパン,N玉子焼中,,1402,井沢商事,5,3555,530,711
2025-11-15,札幌,佐藤,31,1007118,2805012,Nいため鍋20cm,鍋,Nいため鍋,20cm,1407,田上企画,1,742,112,742
2025-11-17,札幌,伊藤,31,1007151,805098,SPフライパン26cm,フライパン,SPフライパン,26cm,1024,蒼井食堂,1,1580,284,1580
2025-11-18,札幌,高橋,31,1007199,16805007,PPフライパン24cm,フライパン,PPフライパン,24cm,1212,杉野興業,19,8645,475,455
2025-11-21,札幌,小林,31,1007289,2305200,Pオイルポット1.2L,ポット,Pオイルポット,1.2L,1002,水野商事,56,19880,3360,355
2025-11-21,札幌,田中,31,1007304,16805010,玉子焼,フライパン,玉子焼,,1212,杉野興業,19,9500,1520,500
2025-11-27,札幌,佐藤,31,1007424,2305030,Pクロームテンプラバット,その他,Pクロームテンプラバット,,1154,加納企画,2,770,172,385
2025-11-28,札幌,佐藤,31,1007484,1905158,フライパン28cm,フライパン,フライパン,28cm,1017,沢田工業,2,3250,590,1625
2025-11-28,札幌,佐藤,31,1007493,805096,SP玉子焼中,フライパン,SP玉子焼中,,1017,沢田工業,1,1150,232,1150
2025-11-28,札幌,高橋,31,1007565,805096,SP玉子焼中,フライパン,SP玉子焼中,,1208,藤井興業,1,1150,232,1150
2025-11-30,札幌,山本,31,1007595,16805008,PPフライパン26cm,フライパン,PPフライパン,26cm,1093,山川事務所,9,4320,810,480
