売上日,営業所,営業担当,期,伝票番号,商品CD,商品名,大分類,中分類,小分類,得意先CD,得意先名,売上数,売上金額,粗利益,単価
2025-08-03,名古屋,佐藤,30,1002819,3005017,食彩鍋22cm,鍋,食彩鍋,22cm,1153,米谷サービス,3,6450,1050,2150
2025-08-03,名古屋,中村,30,1002822,2305204,P蓋付き片手天ぷら鍋16cm,鍋,P蓋付き片手天ぷら鍋,16cm,1193,相馬事務所,4,3480,640,870
2025-08-06,名古屋,鈴木,30,1002837,2305632,Pプラチナフライパン24cm,フライパン,Pプラチナフライパン,24cm,1154,加納企画,4,5400,1120,1350
2025-08-07,名古屋,佐藤,30,1002849,2305204,P蓋付き片手天ぷら鍋16cm,鍋,P蓋付き片手天ぷら鍋,16cm,1002,水野商事,56,47600,7840,850
2025-08-07,名古屋,鈴木,30,1002858,2305217,Qフライパン26cm,フライパン,Qフライパン,26cm,1002,水野商事,24,17376,2928,724
2025-08-07,名古屋,佐藤,30,1002864,2305200,Pオイルポット1.2L,ポット,Pオイルポット,1.2L,1002,水野商事,54,19170,3240,355
2025-08-07,名古屋,鈴木,30,1002891,2305013,Pフライパン26cm,フライパン,Pフライパン,26cm,1002,水野商事,34,27200,4760,800
2025-08-07,名古屋,伊藤,30,1002933,2305053,P温度計付天ぷら鍋22cm,鍋,P温度計付天ぷら鍋,22cm,1022,首藤商事,3,5910,1110,1970
2025-08-07,名古屋,高橋,30,1002942,1905150,フライパン26cm,フライパン,フライパン,26cm,1022,首藤商事,4,7784,1448,1946
2025-08-07,名古屋,佐藤,30,1002966,1905148,タマゴヤキ,フライパン,タマゴヤキ,,1024,蒼井食堂,5,7980,1545,1596
2025-08-07,名古屋,渡辺,30,1002978,2305010,Pフライパン24cm,フライパン,Pフライパン,24cm,1153,米谷サービス,3,4125,750,1375
2025-08-07,名古屋,田中,30,1002981,2305013,Pフライパン26cm,フライパン,Pフライパン,26cm,1182,薬師丸本舗,3,3450,1470,1150
2025-08-07,名古屋,渡辺,30,1003002,2305216,Qフライパン24cm,フライパン,Qフライパン,24cm,1208,藤井興業,3,1995,390,665
2025-08-07,名古屋,高橋,30,1003032,605001,SSテンプラバットM,その他,SSテンプラバットM,,1212,杉野興業,4,3120,1440,780
2025-08-09,名古屋,鈴木,30,1003047,2305631,P両手天ぷら20cm,鍋,P両手天ぷら,20cm,1017,沢田工業,3,2700,600,900
2025-08-09,名古屋,小林,30,1003062,1905149,フライパン24cm,フライパン,フライパン,24cm,1154,加納企画,4,8100,2160,2025
2025-08-09,名古屋,田中,30,1003074,3005018,食彩鍋24cm,鍋,食彩鍋,24cm,1154,加納企画,20,49500,11000,2475
2025-08-09,名古屋,小林,30,1003077,3005019,食彩鍋26cm,鍋,食彩鍋,26cm,1154,加納企画,40,108000,24000,2700
2025-08-14,名古屋,高橋,30,1003113,2305061,Pオイルポット1.6L,ポット,Pオイルポット,1.6L,1002,水野商事,11,10989,1749,999
2025-08-14,名古屋,田中,30,1003134,2305210,P目玉焼きカバー16-18cm,その他,P目玉焼きカバー,16-18cm,1002,水野商事,3,1587,237,529
2025-08-14,名古屋,佐藤,30,1003143,2305219,P玉子焼き,フライパン,P玉子焼き,,1002,水野商事,29,9106,1537,314
2025-08-14,名古屋,田中,30,1003149,2305218,PPいため鍋28cm,鍋,PPいため鍋,28cm,1002,水野商事,7,6188,1043,884
2025-08-14,名古屋,鈴木,30,1003164,16805006,温度計付天ぷら鍋21cm,鍋,温度計付天ぷら鍋,21cm,1002,水野商事,19,11020,950,580
2025-08-14,名古屋,中村,30,1003191,805096,SP玉子焼中,フライパン,SP玉子焼中,,1017,沢田工業,6,6900,1392,1150
2025-08-14,名古屋,伊藤,30,1003197,3005018,食彩鍋24cm,鍋,食彩鍋,24cm,1182,薬師丸本舗,10,23500,3700,2350
2025-08-14,名古屋,佐藤,30,1003200,3005019,食彩鍋26cm,鍋,食彩鍋,26cm,1017,沢田工業,10,24800,3200,2480
2025-08-14,名古屋,鈴木,30,1003206,2305216,Qフライパン24cm,フライパン,Qフライパン,24cm,1022,首藤商事,3,1995,390,665
2025-08-14,名古屋,鈴木,30,1003209,2305204,P蓋付き片手天ぷら鍋16cm,鍋,P蓋付き片手天ぷら鍋,16cm,1022,首藤商事,3,2610,480,870
2025-08-14,名古屋,伊藤,30,1003215,805098,SPフライパン26cm,フライパン,SPフライパン,26cm,1022,首藤商事,4,6320,1136,1580
2025-08-14,名古屋,鈴木,30,1003233,16805008,PPフライパン26cm,フライパン,PPフライパン,26cm,1093,山川事務所,12,5760,1080,480
2025-08-14,名古屋,伊藤,30,1003242,2305204,P蓋付き片手天ぷら鍋16cm,鍋,P蓋付き片手天ぷら鍋,16cm,1153,米谷サービス,5,4350,800,870
2025-08-14,名古屋,佐藤,30,1003248,10705005,テンプラナベ24cmF,鍋,テンプラナベ,24cmF,1153,米谷サービス,4,10240,1840,2560
2025-08-14,名古屋,高橋,30,1003251,1905158,フライパン28cm,フライパン,フライパン,28cm,1153,米谷サービス,6,9750,1770,1625
2025-08-14,名古屋,鈴木,30,1003281,805089,SP目玉焼,フライパン,SP目玉焼,,1208,藤井興業,4,4320,864,1080
2025-08-14,名古屋,小林,30,1003287,3005018,食彩鍋24cm,鍋,食彩鍋,24cm,1210,池本工業,4,9400,1480,2350
