売上日,営業所,営業担当,期,伝票番号,商品CD,商品名,大分類,中分類,小分類,得意先CD,得意先名,売上数,売上金額,粗利益,単価
2025-11-01,京都,田中,31,1006701,2805012,Nいため鍋20cm,鍋,Nいため鍋,20cm,1407,田上企画,1,742,112,742
2025-11-06,京都,鈴木,31,1006725,2305217,Qフライパン26cm,フライパン,Qフライパン,26cm,1154,加納企画,1,795,193,795
2025-11-07,京都,加藤,31,1006740,805098,SPフライパン26cm,フライパン,SPフライパン,26cm,1024,蒼井食堂,1,1580,284,1580
2025-11-07,京都,田中,31,1006746,2305216,Qフライパン24cm,フライパン,Qフライパン,24cm,1153,米谷サービス,2,1330,260,665
2025-11-07,京都,山本,31,1006749,3005011,Nオコノミヤキプレート,プレート,Nオコノミヤキプレート,,1022,首藤商事,1,750,150,750
2025-11-07,京都,田中,31,1006803,1905148,タマゴヤキ,フライパン,タマゴヤキ,,1024,蒼井食堂,2,3192,618,1596
2025-11-07,京都,鈴木,31,1006833,2305203,P温度計付両手天ぷら20M,鍋,P温度計付両手天ぷら,20M,1002,水野商事,3,4170,870,1390
2025-11-07,京都,伊藤,31,1006884,2305210,P目玉焼きカバー16-18cm,その他,P目玉焼きカバー,16-18cm,1212,杉野興業,2,1100,200,550
2025-11-09,京都,渡辺,31,1006905,3005017,食彩鍋22cm,鍋,食彩鍋,22cm,1154,加納企画,2,4500,1000,2250
2025-11-09,京都,高橋,31,1006908,1905150,フライパン26cm,フライパン,フライパン,26cm,1154,加納企画,1,2160,576,2160
2025-11-09,京都,高橋,31,1006914,2305053,P温度計付天ぷら鍋22cm,鍋,P温度計付天ぷら鍋,22cm,1153,米谷サービス,2,3940,740,1970
2025-11-09,京都,鈴木,31,1006917,3005018,食彩鍋24cm,鍋,食彩鍋,24cm,1154,加納企画,1,2475,550,2475
2025-11-12,京都,鈴木,31,1006935,805094,返軽炒めパン22cm,フライパン,返軽炒めパン,22cm,1019,小杉本舗,3,5184,864,1728
2025-11-14,京都,田中,31,1006974,16805006,温度計付天ぷら鍋21cm,鍋,温度計付天ぷら鍋,21cm,1002,水野商事,16,9280,800,580
2025-11-14,京都,鈴木,31,1006986,2305631,P両手天ぷら20cm,鍋,P両手天ぷら,20cm,1017,沢田工業,1,900,200,900
2025-11-14,京都,佐藤,31,1007010,605001,SSテンプラバットM,その他,SSテンプラバットM,,1002,水野商事,2,1040,200,520
2025-11-14,京都,伊藤,31,1007022,2305204,P蓋付き片手天ぷら鍋16cm,鍋,P蓋付き片手天ぷら鍋,16cm,1024,蒼井食堂,1,870,160,870
2025-11-14,京都,伊藤,31,1007028,3005018,食彩鍋24cm,鍋,食彩鍋,24cm,1017,沢田工業,1,2350,370,2350
2025-11-14,京都,佐藤,31,1007031,805097,SPいため鍋28cm,鍋,SPいため鍋,28cm,1017,沢田工業,4,7000,1168,1750
2025-11-14,京都,高橋,31,1007049,2305638,Pフライパンカバー24~28用,フライパン,Pフライパンカバー,24~28用,1002,水野商事,5,1410,240,282
2025-11-14,京都,田中,31,1007052,2305204,P蓋付き片手天ぷら鍋16cm,鍋,P蓋付き片手天ぷら鍋,16cm,1002,水野商事,53,45050,7420,850
2025-11-14,京都,鈴木,31,1007061,2305216,Qフライパン24cm,フライパン,Qフライパン,24cm,1002,水野商事,1,644,109,644
2025-11-14,京都,田中,31,1007085,2305210,P目玉焼きカバー16-18cm,その他,P目玉焼きカバー,16-18cm,1193,相馬事務所,1,550,100,550
2025-11-14,京都,佐藤,31,1007103,805089,SP目玉焼,フライパン,SP目玉焼,,1208,藤井興業,1,1080,216,1080
2025-11-16,京都,田中,31,1007139,605001,SSテンプラバットM,その他,SSテンプラバットM,,1154,加納企画,4,3048,1368,762
2025-11-16,京都,佐藤,31,1007145,2305013,Pフライパン26cm,フライパン,Pフライパン,26cm,1154,加納企画,1,1210,550,1210
2025-11-17,京都,佐藤,31,1007181,15305001,鉄玉子,その他,鉄玉子,,1210,池本工業,2,880,190,440
2025-11-17,京都,高橋,31,1007184,3005018,食彩鍋24cm,鍋,食彩鍋,24cm,1212,杉野興業,1,2350,370,2350
