売上日,営業所,営業担当,期,伝票番号,商品CD,商品名,大分類,中分類,小分類,得意先CD,得意先名,売上数,売上金額,粗利益,単価
2025-11-01,大阪,佐藤,31,1006707,2805014,N玉子焼中,フライパン,N玉子焼中,,1407,田上企画,1,711,106,711
2025-11-03,大阪,田中,31,1006710,3005018,食彩鍋24cm,鍋,食彩鍋,24cm,1022,首藤商事,10,23500,3700,2350
2025-11-03,大阪,高橋,31,1006713,16805010,玉子焼,フライパン,玉子焼,,1022,首藤商事,19,9500,1520,500
2025-11-06,大阪,高橋,31,1006722,15305001,鉄玉子,その他,鉄玉子,,1136,前川サービス,34,14960,3230,440
2025-11-06,大阪,佐藤,31,1006728,2305031,Pフライパン22cm,フライパン,Pフライパン,22cm,1154,加納企画,1,720,160,720
2025-11-07,大阪,田中,31,1006755,2305204,P蓋付き片手天ぷら鍋16cm,鍋,P蓋付き片手天ぷら鍋,16cm,1023,寺田企画,1,870,160,870
2025-11-07,大阪,鈴木,31,1006764,2305053,P温度計付天ぷら鍋22cm,鍋,P温度計付天ぷら鍋,22cm,1017,沢田工業,1,1970,370,1970
2025-11-07,大阪,伊藤,31,1006782,805100,SPフライパン22cm,フライパン,SPフライパン,22cm,1017,沢田工業,1,1300,220,1300
2025-11-07,大阪,伊藤,31,1006791,16805015,深型フライパン24cm,フライパン,深型フライパン,24cm,1022,首藤商事,19,10450,1520,550
2025-11-07,大阪,伊藤,31,1006794,2305200,Pオイルポット1.2L,ポット,Pオイルポット,1.2L,1022,首藤商事,3,1080,195,360
2025-11-07,大阪,山本,31,1006800,16805010,玉子焼,フライパン,玉子焼,,1024,蒼井食堂,19,9500,1520,500
2025-11-07,大阪,渡辺,31,1006806,1905150,フライパン26cm,フライパン,フライパン,26cm,1022,首藤商事,1,1946,362,1946
2025-11-07,大阪,伊藤,31,1006809,16805006,温度計付天ぷら鍋21cm,鍋,温度計付天ぷら鍋,21cm,1002,水野商事,4,2320,200,580
2025-11-07,大阪,鈴木,31,1006812,2305218,PPいため鍋28cm,鍋,PPいため鍋,28cm,1002,水野商事,7,6188,1043,884
2025-11-07,大阪,山本,31,1006827,2305210,P目玉焼きカバー16-18cm,その他,P目玉焼きカバー,16-18cm,1002,水野商事,3,1587,237,529
2025-11-07,大阪,佐藤,31,1006842,2305217,Qフライパン26cm,フライパン,Qフライパン,26cm,1002,水野商事,21,15204,2562,724
2025-11-07,大阪,田中,31,1006848,2305200,Pオイルポット1.2L,ポット,Pオイルポット,1.2L,1002,水野商事,5,1775,300,355
2025-11-07,大阪,鈴木,31,1006890,1905149,フライパン24cm,フライパン,フライパン,24cm,1212,杉野興業,2,3640,670,1820
2025-11-08,大阪,中村,31,1006896,2805012,Nいため鍋20cm,鍋,Nいため鍋,20cm,1105,白鳥食堂,4,2968,448,742
2025-11-09,大阪,伊藤,31,1006920,2305217,Qフライパン26cm,フライパン,Qフライパン,26cm,1182,薬師丸本舗,1,735,133,735
2025-11-09,大阪,高橋,31,1006926,1905148,タマゴヤキ,フライパン,タマゴヤキ,,1154,加納企画,1,1620,432,1620
2025-11-12,大阪,佐藤,31,1006938,16805007,PPフライパン24cm,フライパン,PPフライパン,24cm,1093,山川事務所,9,4320,450,480
2025-11-13,大阪,渡辺,31,1006941,15305001,鉄玉子,その他,鉄玉子,,1136,前川サービス,14,6160,1330,440
2025-11-13,大阪,鈴木,31,1006947,2305629,Pフッソオイルポット,ポット,Pフッソオイルポット,,1154,加納企画,2,1046,346,523
2025-11-13,大阪,伊藤,31,1006950,16805007,PPフライパン24cm,フライパン,PPフライパン,24cm,1332,江崎クリニック,9,4320,450,480
2025-11-14,大阪,高橋,31,1006953,2305217,Qフライパン26cm,フライパン,Qフライパン,26cm,1017,沢田工業,2,1470,266,735
2025-11-14,大阪,小林,31,1006977,805098,SPフライパン26cm,フライパン,SPフライパン,26cm,1017,沢田工業,3,4740,852,1580
2025-11-14,大阪,高橋,31,1006980,2305219,P玉子焼き,フライパン,P玉子焼き,,1024,蒼井食堂,2,640,118,320
2025-11-14,大阪,佐藤,31,1006983,2305217,Qフライパン26cm,フライパン,Qフライパン,26cm,1024,蒼井食堂,2,1470,266,735
2025-11-14,大阪,佐藤,31,1006992,16805007,PPフライパン24cm,フライパン,PPフライパン,24cm,1093,山川事務所,11,5280,550,480
2025-11-14,大阪,伊藤,31,1006995,1905158,フライパン28cm,フライパン,フライパン,28cm,1153,米谷サービス,3,4875,885,1625
2025-11-14,大阪,加藤,31,1006998,805098,SPフライパン26cm,フライパン,SPフライパン,26cm,1153,米谷サービス,3,4740,852,1580
2025-11-14,大阪,高橋,31,1007016,16805008,PPフライパン26cm,フライパン,PPフライパン,26cm,1093,山川事務所,9,4320,810,480
2025-11-14,大阪,高橋,31,1007019,2305010,Pフライパン24cm,フライパン,Pフライパン,24cm,1024,蒼井食堂,1,1375,250,1375
2025-11-14,大阪,渡辺,31,1007034,2305639,P鉄製フライパン26cm,フライパン,P鉄製フライパン,26cm,1002,水野商事,1,1050,178,1050
2025-11-14,大阪,佐藤,31,1007064,2305218,PPいため鍋28cm,鍋,PPいため鍋,28cm,1002,水野商事,4,3536,596,884
2025-11-14,大阪,渡辺,31,1007073,2305200,Pオイルポット1.2L,ポット,Pオイルポット,1.2L,1002,水野商事,53,18815,3180,355
2025-11-14,大阪,田中,31,1007091,3005019,食彩鍋26cm,鍋,食彩鍋,26cm,1210,池本工業,1,2480,320,2480
